44.2242847,-76.497089,84.488,0.025,05:17:2023:11:14:17.871041
44.2242847,-76.4970893,84.486,0.021,05:17:2023:11:14:17.918676
44.2242848,-76.4970896,84.473,0.003,05:17:2023:11:14:17.962492
44.2242849,-76.4970899,84.467,0.005,05:17:2023:11:14:18.013244
44.224285,-76.4970902,84.467,0.014,05:17:2023:11:14:18.066967
44.2242851,-76.4970905,84.461,0.02,05:17:2023:11:14:18.110875
44.2242852,-76.4970908,84.457,0.02,05:17:2023:11:14:18.161541
44.2242853,-76.4970911,84.446,0.029,05:17:2023:11:14:18.209161
44.2242854,-76.4970914,84.446,0.044,05:17:2023:11:14:18.379505
44.2242855,-76.4970917,84.444,0.052,05:17:2023:11:14:18.436429
44.2242855,-76.4970919,84.442,0.031,05:17:2023:11:14:18.493359
44.2242857,-76.4970924,84.435,0.014,05:17:2023:11:14:18.534157
44.2242857,-76.4970924,84.435,0.014,05:17:2023:11:14:18.548682
44.2242857,-76.4970926,84.435,0.015,05:17:2023:11:14:18.591051
44.2242858,-76.4970928,84.429,0.023,05:17:2023:11:14:18.647934
44.2242858,-76.497093,84.421,0.026,05:17:2023:11:14:18.704878
44.2242859,-76.4970933,84.418,0.032,05:17:2023:11:14:18.770289
44.224286,-76.4970936,84.418,0.032,05:17:2023:11:14:18.824028
44.2242861,-76.4970938,84.411,0.04,05:17:2023:11:14:18.874779
44.2242862,-76.4970941,84.396,0.051,05:17:2023:11:14:18.925659
44.2242863,-76.4970943,84.386,0.041,05:17:2023:11:14:18.969343
44.2242863,-76.4970944,84.377,0.015,05:17:2023:11:14:19.013176
44.2242864,-76.4970946,84.362,0.015,05:17:2023:11:14:19.063808
44.2242865,-76.4970948,84.354,0.031,05:17:2023:11:14:19.117705
44.2242867,-76.4970951,84.339,0.023,05:17:2023:11:14:19.161612
44.2242868,-76.4970954,84.333,0.046,05:17:2023:11:14:19.218620
44.2242869,-76.4970956,84.322,0.052,05:17:2023:11:14:19.392672
44.2242869,-76.4970956,84.322,0.052,05:17:2023:11:14:19.414093
44.2242871,-76.4970958,84.305,0.061,05:17:2023:11:14:19.449689
44.2242872,-76.497096,84.288,0.063,05:17:2023:11:14:19.506878
44.2242873,-76.4970962,84.285,0.064,05:17:2023:11:14:19.557554
44.2242875,-76.4970967,84.265,0.036,05:17:2023:11:14:19.598256
44.2242875,-76.4970967,84.265,0.036,05:17:2023:11:14:19.612851
44.2242877,-76.497097,84.254,0.054,05:17:2023:11:14:19.654729
44.2242878,-76.4970972,84.243,0.057,05:17:2023:11:14:19.711659
44.2242878,-76.4970974,84.238,0.058,05:17:2023:11:14:19.777087
44.2242879,-76.4970977,84.239,0.053,05:17:2023:11:14:19.827648
44.224288,-76.497098,84.239,0.04,05:17:2023:11:14:19.871538
44.2242881,-76.4970982,84.227,0.03,05:17:2023:11:14:19.928473
44.2242881,-76.4970984,84.23,0.041,05:17:2023:11:14:19.979224
44.2242882,-76.4970987,84.241,0.061,05:17:2023:11:14:20.029926
44.2242883,-76.4970991,84.24,0.079,05:17:2023:11:14:20.080545
44.2242883,-76.4970994,84.241,0.081,05:17:2023:11:14:20.131211
44.2242885,-76.4970996,84.215,0.057,05:17:2023:11:14:20.171966
44.2242885,-76.4970996,84.215,0.057,05:17:2023:11:14:20.186568
44.2242886,-76.4970998,84.203,0.056,05:17:2023:11:14:20.228945
44.2242887,-76.4971,84.186,0.054,05:17:2023:11:14:20.285873
44.2242888,-76.4971003,84.174,0.064,05:17:2023:11:14:20.342885
44.2242889,-76.4971006,84.171,0.065,05:17:2023:11:14:20.399725
44.224289,-76.4971015,84.167,0.071,05:17:2023:11:14:20.456703
44.224289,-76.4971017,84.178,0.057,05:17:2023:11:14:20.624037
44.2242891,-76.4971019,84.176,0.038,05:17:2023:11:14:20.674635
44.2242892,-76.4971021,84.159,0.03,05:17:2023:11:14:20.722135
44.2242892,-76.4971021,84.159,0.03,05:17:2023:11:14:20.743532
44.2242894,-76.4971023,84.137,0.032,05:17:2023:11:14:20.772777
44.2242895,-76.4971026,84.124,0.046,05:17:2023:11:14:20.816673
44.2242896,-76.4971029,84.108,0.058,05:17:2023:11:14:20.873652
44.2242897,-76.4971032,84.103,0.06,05:17:2023:11:14:20.921243
44.2242897,-76.4971032,84.103,0.06,05:17:2023:11:14:20.942721
44.2242898,-76.4971034,84.094,0.043,05:17:2023:11:14:20.971877
44.2242899,-76.4971036,84.085,0.033,05:17:2023:11:14:21.028778
44.2242899,-76.4971038,84.08,0.031,05:17:2023:11:14:21.065386
44.22429,-76.4971041,84.083,0.053,05:17:2023:11:14:21.122282
44.2242901,-76.4971044,84.085,0.06,05:17:2023:11:14:21.158877
44.2242901,-76.4971047,84.085,0.064,05:17:2023:11:14:21.215805
44.2242902,-76.497105,84.082,0.069,05:17:2023:11:14:21.259878
44.2242902,-76.4971053,84.083,0.07,05:17:2023:11:14:21.310434
